title,source,url,published
Unicommerce Esolutions logs 71% YoY rise in Q4 operating revenue,Economic Times - Tech,https://economictimes.indiatimes.com/tech/technology/unicommerce-esolutions-logs-71-yoy-rise-in-q4-operating-revenue/articleshow/120904079.cms,2025-05-05T14:49:39
Apple hit with app developer class action after US judge's contempt ruling,Economic Times - Tech,https://economictimes.indiatimes.com/tech/technology/apple-hit-with-app-developer-class-action-after-us-judges-contempt-ruling/articleshow/120904042.cms,2025-05-05T14:48:09
Ather Energy IPO: Will the slow and steady builder outperform Ola on the markets?,LiveMint - Companies,https://www.livemint.com/companies/ather-energy-ipo-ola-electric-vehicle-scooter-deeptech-ev-two-wheeler-market-startup-hero-motocorp-tarun-mehta-11746451437091.html,2025-05-05T14:43:41
"DeepSeek, Temu, TikTok- China tech is starting to pull ahead",Economic Times - Tech,https://economictimes.indiatimes.com/tech/artificial-intelligence/deepseek-temu-tiktok-china-tech-is-starting-to-pull-ahead/articleshow/120903814.cms,2025-05-05T14:36:08
"UAE, France collaborate on 1-gigawatt AI data center in pioneering tech partnership",Economic Times - Tech,https://economictimes.indiatimes.com/tech/artificial-intelligence/uae-france-collaborate-on-1-gigawatt-ai-data-center-in-pioneering-tech-partnership/articleshow/120903729.cms,2025-05-05T14:32:36
"Uday Kotak buys  ₹400 crore Mumbai sea-facing property, sets new record of real estate prices: Report",LiveMint - Companies,https://www.livemint.com/companies/people/uday-kotak-buys-rs-400-crore-mumbai-sea-facing-property-sets-new-record-of-real-estate-prices-report-11746451543912.html,2025-05-05T14:09:57
Joy Personal Care to step up distribution as it plans to double revenues,LiveMint - Companies,https://www.livemint.com/companies/news/joy-personal-care-to-step-up-distribution-as-it-plans-to-double-revenues-11746443107528.html,2025-05-05T14:08:21
What big tech earnings taught us—and didn’t—about tariffs,LiveMint - Companies,https://www.livemint.com/companies/company-results/what-big-tech-earnings-taught-us-and-didn-t-about-tariffs-11746453617057.html,2025-05-05T14:06:11
"Q4 earnings watch: Banks' income hits an 8-quarter high, but not because of loans",LiveMint - Companies,https://www.livemint.com/companies/company-results/q4-earnings-banks-income-quarter-high-loan-growth-non-core-income-treasuries-sbi-11746445761905.html,2025-05-05T14:05:13
Highest-paid CEO of US earns nine figure salary. It's not Tim Cook or Satya Nadella; here's how much he earned in 2024,LiveMint - Companies,https://www.livemint.com/companies/people/world-highest-paid-ceo-earn-nine-figure-salary-not-tim-cook-or-satya-nadella-he-earned-in-2024-coherent-ceo-jim-anderson-11746445034408.html,2025-05-05T13:55:59
TCS variable pay rollout; Eternal’s quick pivot,Economic Times - Tech,https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/salary-cuts-delays-reforms-zomatos-quick-pivot/articleshow/120902528.cms,2025-05-05T13:39:28
"Berkshire Hathaway board approves Greg Abel as next CEO, Warren Buffett to remain chairman",LiveMint - Companies,https://www.livemint.com/companies/news/berkshire-hathaway-board-approves-greg-abel-as-next-ceo-warren-buffet-to-remain-chairman-11746451672809.html,2025-05-05T13:35:57
"Mahindra surges ahead of industry, brushing aside slowdown concerns",LiveMint - Companies,https://www.livemint.com/companies/company-results/mahindra-q4-fy25-sales-india-car-market-passenger-vehicles-slowdown-concerns-maruti-suzuki-electric-vehicles-suvs-11746446450972.html,2025-05-05T13:26:51
Electric cab startup Evera begins absorbing BluSmart’s repossessed EVs; eyes Delhi airport dominance,Economic Times - Tech,https://economictimes.indiatimes.com/tech/startups/electric-cab-startup-evera-begins-absorbing-blusmarts-repossessed-evs-eyes-delhi-airport-dominance/articleshow/120901233.cms,2025-05-05T12:51:42
"Zomato pivots away from restaurant-led quick delivery, doubles down on Blinkit Bistro",Economic Times - Tech,https://economictimes.indiatimes.com/tech/startups/zomato-pivots-away-from-restaurant-led-quick-delivery-doubles-down-on-blinkit-bistro/articleshow/120900471.cms,2025-05-05T12:41:37
Experts actively monitor cyberspace after claims made on X of gaining access to military website,Economic Times - Tech,https://economictimes.indiatimes.com/tech/technology/experts-actively-monitor-cyberspace-after-claims-made-on-x-of-gaining-access-to-military-website/articleshow/120900696.cms,2025-05-05T12:30:52
"Amplus Solar rebrands as Gentari, Pungalia named India head",LiveMint - Companies,https://www.livemint.com/companies/news/amplus-solar-rebrands-to-gentari-pungalia-takes-over-as-gentaris-india-head-11746446005411.html,2025-05-05T12:27:46
GIC-backed Asia Healthcare Holdings to acquire Dr Dangs Labs,LiveMint - Companies,https://www.livemint.com/companies/news/gicbacked-asia-healthcare-holdings-to-acquire-dr-dangs-labs-11746436087241.html,2025-05-05T11:29:27
EU's Ribera: Microsoft chairman says his company will abide by EU rules,Economic Times - Tech,https://economictimes.indiatimes.com/tech/technology/eus-ribera-microsoft-chairman-says-his-company-will-abide-by-eu-rules/articleshow/120899018.cms,2025-05-05T11:27:25
Google has tweaked employee review system to boost rewards for top performers: Report,Economic Times - Tech,https://economictimes.indiatimes.com/tech/technology/google-has-tweaked-employee-review-system-to-boost-rewards-for-top-performers-report/articleshow/120898937.cms,2025-05-05T11:24:14
"Meta content moderation contractor cuts over 2,000 jobs in Spain: union",Economic Times - Tech,https://economictimes.indiatimes.com/tech/technology/meta-content-moderation-contractor-cuts-over-2000-jobs-in-spain-union/articleshow/120898777.cms,2025-05-05T11:15:56
Coforge posts 16.5% rise in profit to Rs 261 crore in Q4,Economic Times - Tech,https://economictimes.indiatimes.com/tech/information-tech/coforge-posts-16-5-rise-in-profit-to-rs-261-crore-in-q4/articleshow/120898582.cms,2025-05-05T11:08:46
Good Glamm defers April salaries; former employees await final settlements,Economic Times - Tech,https://economictimes.indiatimes.com/tech/technology/good-glamm-defers-april-salaries-former-employees-await-final-settlements/articleshow/120898005.cms,2025-05-05T10:50:30
"Delhi HC rejects RCB plea against Uber ad, cites spirit of sportsmanship",LiveMint - Companies,https://www.livemint.com/companies/news/delhi-hc-rejects-rcb-plea-against-uber-ad-cites-spirit-of-sportsmanship-11746436014234.html,2025-05-05T10:20:53
Greg Abel's biggest challenge — is Berkshire Hathaway stock worth the ‘Buffett’ premium without Warren Buffett?,LiveMint - Companies,https://www.livemint.com/companies/people/greg-abel-biggest-challenge-berkshire-hathaway-stock-worth-premium-value-without-warren-buffett-investor-confidence-news-11746424558339.html,2025-05-05T10:06:32
TCS rolls out full variable pay to 70% of workforce,Economic Times - Tech,https://economictimes.indiatimes.com/tech/technology/tcs-slashes-senior-employees-variable-pay-for-third-straight-quarter-report/articleshow/120895219.cms,2025-05-05T09:48:40
"KOGO AI, Tech Mahindra team up to build, deliver enterprise AI solutions, agents",Economic Times - Tech,https://economictimes.indiatimes.com/tech/artificial-intelligence/kogo-ai-tech-mahindra-team-up-to-build-deliver-enterprise-ai-solutions-agents/articleshow/120896015.cms,2025-05-05T09:40:43
Nvidia plans to redesign AI chips to navigate US export curbs: Report,Economic Times - Tech,https://economictimes.indiatimes.com/tech/artificial-intelligence/nvidia-plans-to-redesign-ai-chips-to-navigate-us-export-curbs-report/articleshow/120895223.cms,2025-05-05T08:53:37
Snapdeal cofounder Kunal Bahl says governance scandals have hurt trust in Indian startups,Economic Times - Tech,https://economictimes.indiatimes.com/tech/startups/snapdeal-founder-kunal-bahl-says-governance-scandals-have-hurt-trust-in-indian-startups/articleshow/120891587.cms,2025-05-05T08:30:43
"AI job loss: 40% of roles at risk, experts warn",Economic Times - Tech,https://economictimes.indiatimes.com/tech/artificial-intelligence/ai-job-loss-40-of-roles-at-risk-experts-warn/articleshow/120894138.cms,2025-05-05T08:25:12
"Battery tech startup Volt14 raises $1.87 million from Blume Ventures, others",Economic Times - Tech,https://economictimes.indiatimes.com/tech/funding/battery-tech-startup-volt14-raises-1-87-million-from-blume-ventures-others/articleshow/120893714.cms,2025-05-05T08:20:49
Digital real estate platform Alt DRX raises $2.7 million in new funding round,Economic Times - Tech,https://economictimes.indiatimes.com/tech/funding/digital-real-estate-platform-alt-drx-raises-2-7-million-in-new-funding-round/articleshow/120891721.cms,2025-05-05T07:15:20
These startups are drawing investor interest amid a growing tribe of pet parents,LiveMint - Companies,https://www.livemint.com/companies/start-ups/pet-care-startups-investors-supertails-heads-up-for-tails-vetic-india-pet-care-industry-animal-healthcare-service-11746417587146.html,2025-05-05T06:21:41
"Law ministry to start work on plugging gaps in arbitration law, as directed by Supreme Court",LiveMint - Companies,https://www.livemint.com/companies/law-ministry-gaps-in-arbitration-law-supreme-court-arbitration-arbitral-tribunal-11746419497751.html,2025-05-05T06:05:52
"Global AI spend to rise 60% in 2025 even as Microsoft, Amazon, Alphabet, Meta share drops: UBS",Economic Times - Tech,https://economictimes.indiatimes.com/tech/artificial-intelligence/global-ai-spend-to-rise-60-in-2025-even-as-microsoft-amazon-alphabet-meta-share-drops-ubs/articleshow/120890152.cms,2025-05-05T05:58:23
"Warren Buffett's ‘bull run’ at Berkshire Hathaway — whopping 55,00,000% returns, $1.2trn company, $167bn share value!",LiveMint - Companies,https://www.livemint.com/companies/people/warren-buffett-bull-run-berkshire-hathaway-whopping-5500000-pc-profit-1-trillion-company-167-billion-shares-value-market-11746416023142.html,2025-05-05T05:46:02
"No GPUs, no problem: Ziroh Labs can run AI models just with CPUs",LiveMint - Companies,https://www.livemint.com/companies/news/no-gpus-no-problem-ziroh-labs-can-run-ai-models-just-with-cpus-11746333563413.html,2025-05-05T05:30:09
Elon Musk’s name change to ‘Gorklon Rust’ on X sparks buzz,Economic Times - Tech,https://economictimes.indiatimes.com/tech/technology/elon-musks-name-change-to-gorklon-rust-on-x-sparks-buzz/articleshow/120888849.cms,2025-05-05T05:23:46
